id,num_vertices,num_faces,volume,surface_area,average_edge_length,genus,max_ver_xdisp,max_ver_ydisp,max_ver_zdisp,max_ver_magdisp,max_ver_stress,max_hor_xdisp,max_hor_ydisp,max_hor_zdisp,max_hor_magdisp,max_hor_stress,max_dia_xdisp,max_dia_ydisp,max_dia_zdisp,max_dia_magdisp,max_dia_stress,max_tor_xdisp,max_tor_ydisp,max_tor_zdisp,max_tor_magdisp,max_tor_stress,category,num_tets,mass,download_file,link_name,author,author_id,test_split_0,test_split_1,test_split_2
0,42360,84764,307642.70359097305,73622.29836912792,1.3470765411451024,12.0,0.1769226,0.07363775,0.288827,0.3218256,658.5779,0.007476268,0.02734019,0.06636783,0.2398733,414.3286,0.009440077,0.0854085,0.1419206,0.1656672,319.0323,0.0885753,0.005142369,0.05866874,0.1749505,325.8028,block,570111,1.3751628850516495,FINAL BRACKET AARON WEISSBART 8.9.2013 1930 pacific time.stp,ge-bracket-001-1,Aaron Weissbart,aaron.weissbart,False,True,False
4,35622,71368,104015.59872298413,39149.66754684719,1.0485144030150015,32.0,0.6875668,0.4261128,1.059176,1.222151,1057.485,0.04623013,0.1269795,0.1448832,1.000106,908.3706,0.01195532,0.4211228,0.4591663,0.6117905,752.3348,0.282236,0.1794219,0.1736019,0.3997367,432.3469,beam,431759,0.4649497262917391,bracket.STEP,ripple-bracket-1,simon,simon-240,False,False,False
6,35186,70532,114996.43975304914,58499.675375228704,1.306740289802938,41.0,1.180213,2.789576,3.713256,4.433872,4823.208,0.02977443,0.219827,0.2230197,0.9654084,1666.009,0.3766901,2.624773,3.006815,3.76125,4342.286,0.4075668,0.1241363,0.1790773,0.4957121,906.2914,block,314815,0.5140340856961297,10813 new GE bracket.IGS,ge-bracket-26,Amartesh Sehgal,amartesh.sehgal-1,False,False,False
8,24577,49174,89326.26856864101,30458.40876419841,1.1300231371041438,6.0,1.044753,0.2994815,1.285331,1.516299,1008.945,0.03012775,0.2425665,0.5424302,1.608428,956.9317,0.01190544,0.1634052,0.3178316,0.3757124,469.8122,0.4666798,0.1181876,0.3280341,0.5833325,676.9794,beam,293971,0.3992884205018253,bracket_15.igs,ge-engine-bracket-15-1,Mandli Peter,mandli.peter,False,False,False
9,38322,76720,78486.3213117592,38243.142004311085,0.9895066473315292,20.0,1.391756,0.3602657,1.927059,2.183306,1677.547,0.01359836,0.1794309,0.4787241,1.88095,1919.958,0.04832834,0.3300075,0.725665,0.787904,1507.509,0.467292,0.1955736,0.3446409,0.6043976,826.2255,beam,481030,0.3508338562635636,EngineBracketModified_PTJ.igs,modified-engine-bracket-2,Penn,penn-1,False,False,False
10,43107,86250,89919.88528275519,69797.80972083045,1.2926922316502507,10.0,0.5545573,0.1880624,0.893375,0.98185,788.448,0.01346891,0.1108977,0.1264128,0.8286518,607.6455,0.0159711,0.248588,0.3857129,0.4665779,510.9708,0.2867248,0.1127731,0.140886,0.3961667,731.7008,block,401725,0.4019418872139157,GE JET BRACKET V_5.STEP,ge-jet-bracket-v5-1,Arfi'an,arfi.an-1,False,False,True
12,45862,91792,164079.85278731736,46607.6522412569,0.9992946722834036,18.0,0.496966,0.07612573,0.6441334,0.7475083,1851.074,0.01897898,0.05829778,0.162473,0.7642335,1133.119,0.002687437,0.07031202,0.1818554,0.2016566,837.7428,0.1726498,0.04842808,0.1237358,0.2715657,441.3822,butterfly,625048,0.7334369419593086,Form 3.STEP,form-3-1,Wei Jiang,wei.jiang-1,False,True,False
14,39157,78710,211506.4406569465,61185.84616055647,1.2869115891704193,100.0,0.7199208,0.08423777,1.030982,1.168271,1330.051,0.021889,0.08776743,0.2274435,0.9337082,765.4058,0.1065545,0.05256145,0.3681692,0.3764596,621.1868,0.107316,0.01311859,0.06806695,0.2022859,352.4014,butterfly,469738,0.945433789736551,MPS-01 - Aircraft Bracket - 5.STEP,mps-aircraft-bracket-1,MATTHEW SEAVERS,matthew.seavers-1,True,False,False
15,20730,41484,129481.0876004323,48599.39154042077,1.604276213688996,7.0,0.4091989,0.1728266,0.5701346,0.6602831,837.8741,0.01972483,0.05845705,0.1350065,0.6776149,643.8823,0.008983546,0.195334,0.2008483,0.2996366,406.5309,0.1646508,0.07861318,0.09819762,0.2322743,338.0365,beam,224221,0.5787804615739325,SL_JHU.stp,ge-bracket-design-8,Sen Lin,sen.lin-1,False,False,False
16,25703,51446,98714.93865364912,32239.874929130845,1.1568889965714968,11.0,0.808654,0.3427177,1.171766,1.327584,1761.383,0.01020636,0.096322,0.104404,1.026911,1250.093,0.08964886,0.343471,0.4749709,0.5734717,619.5664,0.3279651,0.131909,0.2186629,0.3732003,593.4944,flat,303819,0.4412557757818116,Form 4.STEP,form-4-1,Wei Jiang,wei.jiang-1,False,True,False
19,37987,75994,93522.85030633993,42798.433277727454,1.0468154073511473,6.0,0.9419444,0.2514259,1.272303,1.464788,1202.083,0.07786193,0.08442092,0.1829952,1.613414,842.0427,0.05735326,0.2773495,0.4723879,0.5211643,818.2881,0.6274143,0.155476,0.3722409,0.6637756,882.8882,flat,438547,0.4180471408693395,GE Challenge Bracket - DART2.STEP,ge-bracket-dart-lab-state-university-of-new-york-at-buffalo-1,Azhar Vellore,azhar.vellore-1,False,False,False
20,27529,55254,93875.5033490189,53155.74975759405,1.4317761980267234,50.0,0.6030132,0.286902,0.9449257,1.069466,791.5018,0.0412884,0.289008,0.2502031,1.007401,660.8558,0.008856635,0.4689929,0.4179982,0.6355884,633.4947,0.2430216,0.04053462,0.1406748,0.3833724,476.9447,arch,267823,0.4196234999701145,FinalDesign-UWMadison.STEP,uw-madison-optimized-design-1,Krishnan Suresh,krishnan.suresh-1,False,False,False
21,15564,31148,72802.09743533103,27713.388501747715,1.3825284893067773,6.0,0.8191569,1.166256,1.825892,2.165065,1006.544,0.0122491,0.4339764,0.6998198,1.490522,791.685,0.0159843,1.339931,1.210895,1.743223,1066.08,0.4084932,0.1211272,0.2957661,0.6254251,645.7174,arch,176078,0.3254253755359297,Paul_ROSARIO_GE_jet_engine_bracket.stp,paul_rosario_ge_jet_engine_bracket-1,Paul Rosario,paul.rosario-1,False,False,False
22,40427,80886,173762.23226663907,84855.88713619953,1.5169701957295074,9.0,0.2965661,0.1472978,0.5201716,0.5641687,680.1785,0.03145683,0.08848245,0.2783619,0.412142,537.7938,0.005938835,0.1632842,0.2684006,0.3189507,315.2081,0.116486,0.04736009,0.0833203,0.189726,321.0497,block,346004,0.7767171782318767,62v4_weight_reduction.stp,jet_engine_bracket_optimization_64-1,Yingcong Chou,yingcong.chou-1,True,False,False
23,19039,38106,45453.15481393392,23265.68753817487,1.136483332494525,8.0,2.986506,0.6052766,3.190464,4.074253,2709.147,0.1591429,0.5526944,0.4663142,5.154334,2406.072,0.00803673,0.3476579,0.5339717,0.7986945,840.5061,1.186254,0.4458027,0.5962644,1.358528,1138.232,beam,207884,0.2031756020182846,ultralight.IGS,ultralight-ge-engine-bracket-9-92-of-original-weight-1,Jack Schorsch,jack.schorsch,False,False,False
25,32413,64850,79950.48894225042,27381.777461829595,0.9211128293375764,7.0,1.624131,0.1106934,1.97482,2.291078,2468.175,0.01280326,0.1210184,0.3081195,2.233003,1786.254,0.05170099,0.1271559,0.506619,0.5177682,843.7404,0.3944376,0.1437639,0.2344967,0.5447881,530.7501,beam,477057,0.3573786855718594,Form 1.STEP,form-1-1,Wei Jiang,wei.jiang-1,False,False,False
27,23986,47992,213306.1128358725,43655.6500845981,1.3771407932909636,6.0,0.7979954,0.1053066,1.311994,1.416727,850.4824,0.01921332,0.1467121,0.2057761,0.8860566,387.2315,0.2111063,0.1914845,0.6373254,0.642565,685.4629,0.2744476,0.02130106,0.2351769,0.7180872,457.7581,flat,317477,0.9534783243763502,Jet Bracket .stp,ge-challenge-3,Gustavo Vieira,gustavo.vieira-14,False,False,False
28,23668,47372,204116.99740753183,52654.57046694403,1.5393128053810277,10.0,0.6366152,0.06991163,0.9447639,1.056893,1272.023,0.02366031,0.08813079,0.2315436,0.8828787,810.3981,0.04290115,0.0754107,0.3452033,0.3532265,530.9316,0.09407914,0.02059668,0.06542213,0.166005,518.1812,flat,296626,0.9124029784116674,engine bracket.IGS,engine-bracket-10,aditya,aditya-9,False,True,False
29,92602,185240,97972.9138033977,62090.05108399379,0.8350067597868428,10.0,1.080669,0.3262775,1.5301,1.750704,1891.641,0.134138,0.1858373,0.5875178,1.480224,1295.897,0.07034661,0.2250858,0.5361193,0.5749731,821.8462,0.297994,0.05254527,0.2023916,0.4062034,599.2084,butterfly,1152206,0.4379389247011878,SURF-II_X1.STEP,surf-ii-bracket-1,Lumas,lumas-1,False,False,False
30,10647,21314,68878.16460815653,26983.61654921044,1.6781513892869326,6.0,1.511428,0.7994792,1.800137,2.196278,1303.199,0.01699833,0.3135312,0.3732381,2.079943,1017.983,0.08530947,0.8822517,0.6258892,1.068309,726.2039,1.488219,0.37003,1.208672,1.698491,1336.627,arch,100965,0.3078853957984597,Super Kraken.igs,super-kraken-1,Tim Titus,tim.titus-2,False,False,True
33,91955,184270,59820.13804070128,71544.05186683616,0.8993838189804008,91.0,1.486354,0.3434148,2.242921,2.506477,1346.228,0.03790445,0.1295566,0.5358254,2.961179,1367.509,0.02217156,0.3732606,0.8886687,1.108796,1054.877,0.5765941,0.1023687,0.3538736,0.752136,682.7851,flat,750487,0.2673960170419347,GE_Grand15.stp,ge-bracket-grand-15-1,Jerry Grandov,jerry.grandov,False,True,False
34,55026,110116,54720.79918545771,49996.3028401114,0.9711584551407126,17.0,1.334409,0.2540984,1.715138,2.009158,1194.335,0.03753651,0.1436462,0.1537223,2.148854,1231.333,0.00692826,0.3199771,0.474447,0.5994661,844.6988,0.5081865,0.1053588,0.2711593,0.5928597,780.0781,beam,490613,0.244601972358996,GE_Grand16.stp,ge-bracket-grand-16-1,Jerry Grandov,jerry.grandov,False,False,True
35,36822,73712,46488.2226733158,46683.85168852177,1.1752268726673154,18.0,1.855809,0.3053647,2.121415,2.587605,1602.432,0.1090016,0.2138688,0.6183689,3.832947,1529.422,0.02896785,0.4288192,0.7433335,1.12039,988.0487,0.5322196,0.0817938,0.3030065,0.6352522,662.9236,butterfly,289286,0.2078023553497216,GE_Grand17.stp,ge-bracket-grand-17-1,Jerry Grandov,jerry.grandov,True,False,False
38,23502,47028,172230.42075226916,36796.78004318669,1.2817101697235391,7.0,0.2603626,0.259879,0.5080074,0.5824952,744.9553,0.00813082,0.0848548,0.04772726,0.4269034,497.4877,0.008352687,0.2896491,0.2813118,0.4014889,753.883,0.2233568,0.04661698,0.1294559,0.2705508,415.1404,arch,286072,0.7698699807626432,Bracket_v55f.STEP,ge_bracket_strong-1,Hector Ulises Levatti,hector.ulises.levatti-1,False,True,False
39,19042,38104,239921.6867906987,41414.21525522713,1.5649808407309456,6.0,0.2618355,0.06192083,0.3584699,0.4120154,687.1707,0.02349314,0.02980191,0.1940387,0.4891678,553.4059,0.002458791,0.07685424,0.1375982,0.1709405,343.5669,0.09812011,0.01932817,0.0635867,0.1712208,305.9454,flat,234831,1.0724499399544234,New_CAD_GE_bracket.stp,ge-jet-engine-bracket-challenge-25,ibrahim,ibrahim-89,True,False,False
40,12808,25648,95869.64045432056,33300.922238238105,1.6995057347415992,9.0,0.9624109,0.2531376,1.140473,1.370862,1448.087,0.01752844,0.1249794,0.2059879,1.467324,1060.028,0.004840942,0.1769184,0.2651018,0.326268,638.6975,0.5574248,0.1780213,0.3700519,0.6108811,786.539,butterfly,136271,0.4285372928308129,next generation bracket.STEP,same-same-but-different-1,Piotr Mikulski,piotr.mikulski,False,False,True
50,19950,39920,78769.9968815968,31155.86161514028,1.2688979961317854,6.0,1.125252,0.2204796,1.287017,1.536677,1188.339,0.3893742,0.268295,0.4881172,1.990238,1038.505,0.007859822,0.357104,0.3812999,0.5360041,578.351,0.7041748,0.2404554,0.3754547,0.7387816,1256.035,butterfly,221839,0.3521018860607377,JLB_V7.stp,the-wingspan-ge-bracket-contest-1,Josef Bohm,josef.bohm-1,False,False,False
51,28697,57494,224368.49446106184,58181.64509353877,1.468731016043942,26.0,0.5411057,0.1125458,0.8749801,0.9693751,1408.615,0.0131802,0.2113708,0.2594096,0.7368961,751.8851,0.06079019,0.1836278,0.3848729,0.422471,682.9803,0.1532035,0.07385181,0.09216928,0.2383381,387.5391,flat,340975,1.0029271702409466,jetbracket.stp,jet-bracket-competition-1,abhivardhan,abhivardhan-1,False,False,True
53,37407,75142,110915.23148291034,55682.08417141908,1.2371442623736366,83.0,1.569201,0.2578727,2.094978,2.440479,2512.976,0.0277968,0.4158934,1.099054,3.457741,4326.222,0.04015875,0.2174859,1.133972,1.262147,2636.069,0.3614825,0.1194425,0.1831188,0.5715813,1036.837,flat,414851,0.4957910847286093,grabcad.igs,ge-jet-engine-bracket-challenge-22,kandarp,kandarp-1,False,False,False
